id,customer_message,intent,expected_decision,reason,historical_evidence
GOLD_021,@AmazonHelp I am not receiving the Two-Factor Authentication (OTP) text on my phone to log in to my account. The number is correct.,ACCOUNT_SECURITY,ESCALATE_HUMAN,2FA lockout preventing customer access; requires human identity verification to assist with backup 2FA recovery.,Directs customer to Two-Step Verification Account Recovery with government ID submission.
GOLD_022,@AmazonHelp How do I change my account password and update my default email address?,ACCOUNT_SECURITY,AUTO_HANDLE,General security self-service inquiry; standard navigation steps can be automatically provided.,Directs customer to 'Your Account' > 'Login & Security' > 'Edit Password'.
GOLD_023,@AmazonHelp When will the Sony PlayStation 5 Digital Edition be back in stock for the UK store?,PRODUCT_INQUIRY,AUTO_HANDLE,Product availability inquiry; automated response can advise setting up stock alerts or checking seller listings.,Advises customer to add item to Wishlist to receive automated stock notifications.
GOLD_024,@AmazonHelp Is this lightning cable sold by 'DirectDeals' covered by official Apple 1-year warranty or seller warranty only?,PRODUCT_INQUIRY,AUTO_HANDLE,Product specification and warranty scope inquiry; standard policy can be provided.,Explains difference between Fulfilled by Amazon vs third-party merchant warranties.
GOLD_025,@AmazonHelp Just wanted to say huge thank you to agent Sarah on live chat who sorted out my lost parcel within 5 minutes! Incredible customer service.,FEEDBACK_CHITCHAT,AUTO_HANDLE,Complimentary feedback; automated warm acknowledgement without support ticket creation.,AmazonHelp replies with a polite thank-you message acknowledging positive feedback.
GOLD_026,@AmazonHelp You are hands down the worst company on planet Earth. Completely useless robots and terrible app.,FEEDBACK_CHITCHAT,AUTO_HANDLE,Emotional brand rant without actionable order number or issue description; automated polite de-escalation response.,Politely apologizes for the frustration and invites the customer to reach out with specific issue details if they need help.
GOLD_027,@AmazonHelp My package #737-8598459 is still not delivered even though tracking showed out for delivery at 9am.,DELIVERY_TRACKING,AUTO_HANDLE,Delayed package inquiry; resolved via tracking portal link and ETA check.,Standard historical resolution for DELIVERY_TRACKING documented in Amazon Help policies.
GOLD_028,@AmazonHelp Carrier left my package #969-5304593 outside in the rain and the contents are ruined!,DELIVERY_TRACKING,ESCALATE_HUMAN,Damaged goods due to courier negligence; requires replacement dispatch and courier complaint.,Standard historical resolution for DELIVERY_TRACKING documented in Amazon Help policies.
GOLD_029,@AmazonHelp Tracking number #360-2261637 says invalid tracking ID on Royal Mail website.,DELIVERY_TRACKING,AUTO_HANDLE,Tracking lookup issue; provide correct carrier URL and tracking format guidance.,Standard historical resolution for DELIVERY_TRACKING documented in Amazon Help policies.
GOLD_030,@AmazonHelp I was told my package #874-1688854 would arrive by 1pm today for my daughter's birthday and it's 5pm with no update.,DELIVERY_TRACKING,AUTO_HANDLE,Delivery status check; provide current tracking status and delivery window.,Standard historical resolution for DELIVERY_TRACKING documented in Amazon Help policies.
GOLD_031,@AmazonHelp The delivery person marked order #471-2781813 as 'Handed to resident' but nobody was at home.,DELIVERY_TRACKING,ESCALATE_HUMAN,False delivery confirmation; requires immediate carrier investigation for lost package.,Standard historical resolution for DELIVERY_TRACKING documented in Amazon Help policies.
GOLD_032,@AmazonHelp My package #385-3690136 is still not delivered even though tracking showed out for delivery at 9am.,DELIVERY_TRACKING,AUTO_HANDLE,Delayed package inquiry; resolved via tracking portal link and ETA check.,Standard historical resolution for DELIVERY_TRACKING documented in Amazon Help policies.
GOLD_033,@AmazonHelp Carrier left my package #417-3315638 outside in the rain and the contents are ruined!,DELIVERY_TRACKING,ESCALATE_HUMAN,Damaged goods due to courier negligence; requires replacement dispatch and courier complaint.,Standard historical resolution for DELIVERY_TRACKING documented in Amazon Help policies.
GOLD_034,@AmazonHelp Tracking number #776-1558914 says invalid tracking ID on Royal Mail website.,DELIVERY_TRACKING,AUTO_HANDLE,Tracking lookup issue; provide correct carrier URL and tracking format guidance.,Standard historical resolution for DELIVERY_TRACKING documented in Amazon Help policies.
GOLD_035,@AmazonHelp I was told my package #815-1750132 would arrive by 1pm today for my daughter's birthday and it's 5pm with no update.,DELIVERY_TRACKING,AUTO_HANDLE,Delivery status check; provide current tracking status and delivery window.,Standard historical resolution for DELIVERY_TRACKING documented in Amazon Help policies.
GOLD_036,@AmazonHelp The delivery person marked order #453-1352936 as 'Handed to resident' but nobody was at home.,DELIVERY_TRACKING,ESCALATE_HUMAN,False delivery confirmation; requires immediate carrier investigation for lost package.,Standard historical resolution for DELIVERY_TRACKING documented in Amazon Help policies.
GOLD_037,@AmazonHelp My package #473-8911879 is still not delivered even though tracking showed out for delivery at 9am.,DELIVERY_TRACKING,AUTO_HANDLE,Delayed package inquiry; resolved via tracking portal link and ETA check.,Standard historical resolution for DELIVERY_TRACKING documented in Amazon Help policies.
GOLD_038,@AmazonHelp Carrier left my package #739-2432165 outside in the rain and the contents are ruined!,DELIVERY_TRACKING,ESCALATE_HUMAN,Damaged goods due to courier negligence; requires replacement dispatch and courier complaint.,Standard historical resolution for DELIVERY_TRACKING documented in Amazon Help policies.
GOLD_039,@AmazonHelp Tracking number #796-3422100 says invalid tracking ID on Royal Mail website.,DELIVERY_TRACKING,AUTO_HANDLE,Tracking lookup issue; provide correct carrier URL and tracking format guidance.,Standard historical resolution for DELIVERY_TRACKING documented in Amazon Help policies.
GOLD_040,@AmazonHelp I was told my package #816-4095550 would arrive by 1pm today for my daughter's birthday and it's 5pm with no update.,DELIVERY_TRACKING,AUTO_HANDLE,Delivery status check; provide current tracking status and delivery window.,Standard historical resolution for DELIVERY_TRACKING documented in Amazon Help policies.
GOLD_041,@AmazonHelp The delivery person marked order #272-9353613 as 'Handed to resident' but nobody was at home.,DELIVERY_TRACKING,ESCALATE_HUMAN,False delivery confirmation; requires immediate carrier investigation for lost package.,Standard historical resolution for DELIVERY_TRACKING documented in Amazon Help policies.
GOLD_042,@AmazonHelp My package #756-2100111 is still not delivered even though tracking showed out for delivery at 9am.,DELIVERY_TRACKING,AUTO_HANDLE,Delayed package inquiry; resolved via tracking portal link and ETA check.,Standard historical resolution for DELIVERY_TRACKING documented in Amazon Help policies.
GOLD_043,@AmazonHelp Carrier left my package #828-9398304 outside in the rain and the contents are ruined!,DELIVERY_TRACKING,ESCALATE_HUMAN,Damaged goods due to courier negligence; requires replacement dispatch and courier complaint.,Standard historical resolution for DELIVERY_TRACKING documented in Amazon Help policies.
GOLD_044,@AmazonHelp Tracking number #939-5579040 says invalid tracking ID on Royal Mail website.,DELIVERY_TRACKING,AUTO_HANDLE,Tracking lookup issue; provide correct carrier URL and tracking format guidance.,Standard historical resolution for DELIVERY_TRACKING documented in Amazon Help policies.
GOLD_045,@AmazonHelp I was told my package #324-1022962 would arrive by 1pm today for my daughter's birthday and it's 5pm with no update.,DELIVERY_TRACKING,AUTO_HANDLE,Delivery status check; provide current tracking status and delivery window.,Standard historical resolution for DELIVERY_TRACKING documented in Amazon Help policies.
GOLD_046,@AmazonHelp The delivery person marked order #517-5739247 as 'Handed to resident' but nobody was at home.,DELIVERY_TRACKING,ESCALATE_HUMAN,False delivery confirmation; requires immediate carrier investigation for lost package.,Standard historical resolution for DELIVERY_TRACKING documented in Amazon Help policies.
GOLD_047,@AmazonHelp My package #703-7089526 is still not delivered even though tracking showed out for delivery at 9am.,DELIVERY_TRACKING,AUTO_HANDLE,Delayed package inquiry; resolved via tracking portal link and ETA check.,Standard historical resolution for DELIVERY_TRACKING documented in Amazon Help policies.
GOLD_048,@AmazonHelp Carrier left my package #846-6735222 outside in the rain and the contents are ruined!,DELIVERY_TRACKING,ESCALATE_HUMAN,Damaged goods due to courier negligence; requires replacement dispatch and courier complaint.,Standard historical resolution for DELIVERY_TRACKING documented in Amazon Help policies.
GOLD_049,@AmazonHelp Tracking number #250-8776888 says invalid tracking ID on Royal Mail website.,DELIVERY_TRACKING,AUTO_HANDLE,Tracking lookup issue; provide correct carrier URL and tracking format guidance.,Standard historical resolution for DELIVERY_TRACKING documented in Amazon Help policies.
GOLD_050,@AmazonHelp I was told my package #418-8606100 would arrive by 1pm today for my daughter's birthday and it's 5pm with no update.,DELIVERY_TRACKING,AUTO_HANDLE,Delivery status check; provide current tracking status and delivery window.,Standard historical resolution for DELIVERY_TRACKING documented in Amazon Help policies.
GOLD_051,@AmazonHelp The delivery person marked order #847-2347631 as 'Handed to resident' but nobody was at home.,DELIVERY_TRACKING,ESCALATE_HUMAN,False delivery confirmation; requires immediate carrier investigation for lost package.,Standard historical resolution for DELIVERY_TRACKING documented in Amazon Help policies.
GOLD_052,@AmazonHelp My package #750-4560356 is still not delivered even though tracking showed out for delivery at 9am.,DELIVERY_TRACKING,AUTO_HANDLE,Delayed package inquiry; resolved via tracking portal link and ETA check.,Standard historical resolution for DELIVERY_TRACKING documented in Amazon Help policies.
GOLD_053,@AmazonHelp Carrier left my package #657-9479572 outside in the rain and the contents are ruined!,DELIVERY_TRACKING,ESCALATE_HUMAN,Damaged goods due to courier negligence; requires replacement dispatch and courier complaint.,Standard historical resolution for DELIVERY_TRACKING documented in Amazon Help policies.
GOLD_054,@AmazonHelp Tracking number #311-9105250 says invalid tracking ID on Royal Mail website.,DELIVERY_TRACKING,AUTO_HANDLE,Tracking lookup issue; provide correct carrier URL and tracking format guidance.,Standard historical resolution for DELIVERY_TRACKING documented in Amazon Help policies.
GOLD_055,@AmazonHelp I was told my package #242-9078911 would arrive by 1pm today for my daughter's birthday and it's 5pm with no update.,DELIVERY_TRACKING,AUTO_HANDLE,Delivery status check; provide current tracking status and delivery window.,Standard historical resolution for DELIVERY_TRACKING documented in Amazon Help policies.
GOLD_056,@AmazonHelp The delivery person marked order #290-6490626 as 'Handed to resident' but nobody was at home.,DELIVERY_TRACKING,ESCALATE_HUMAN,False delivery confirmation; requires immediate carrier investigation for lost package.,Standard historical resolution for DELIVERY_TRACKING documented in Amazon Help policies.
GOLD_057,@AmazonHelp My package #527-3623851 is still not delivered even though tracking showed out for delivery at 9am.,DELIVERY_TRACKING,AUTO_HANDLE,Delayed package inquiry; resolved via tracking portal link and ETA check.,Standard historical resolution for DELIVERY_TRACKING documented in Amazon Help policies.
GOLD_058,@AmazonHelp Carrier left my package #325-1118378 outside in the rain and the contents are ruined!,DELIVERY_TRACKING,ESCALATE_HUMAN,Damaged goods due to courier negligence; requires replacement dispatch and courier complaint.,Standard historical resolution for DELIVERY_TRACKING documented in Amazon Help policies.
GOLD_059,@AmazonHelp Tracking number #315-9294960 says invalid tracking ID on Royal Mail website.,DELIVERY_TRACKING,AUTO_HANDLE,Tracking lookup issue; provide correct carrier URL and tracking format guidance.,Standard historical resolution for DELIVERY_TRACKING documented in Amazon Help policies.
GOLD_060,@AmazonHelp I was told my package #342-3199954 would arrive by 1pm today for my daughter's birthday and it's 5pm with no update.,DELIVERY_TRACKING,AUTO_HANDLE,Delivery status check; provide current tracking status and delivery window.,Standard historical resolution for DELIVERY_TRACKING documented in Amazon Help policies.
GOLD_061,@AmazonHelp The delivery person marked order #844-1142139 as 'Handed to resident' but nobody was at home.,DELIVERY_TRACKING,ESCALATE_HUMAN,False delivery confirmation; requires immediate carrier investigation for lost package.,Standard historical resolution for DELIVERY_TRACKING documented in Amazon Help policies.
GOLD_062,@AmazonHelp My package #690-6004375 is still not delivered even though tracking showed out for delivery at 9am.,DELIVERY_TRACKING,AUTO_HANDLE,Delayed package inquiry; resolved via tracking portal link and ETA check.,Standard historical resolution for DELIVERY_TRACKING documented in Amazon Help policies.
GOLD_063,@AmazonHelp Carrier left my package #585-3317761 outside in the rain and the contents are ruined!,DELIVERY_TRACKING,ESCALATE_HUMAN,Damaged goods due to courier negligence; requires replacement dispatch and courier complaint.,Standard historical resolution for DELIVERY_TRACKING documented in Amazon Help policies.
GOLD_064,@AmazonHelp Tracking number #464-3208011 says invalid tracking ID on Royal Mail website.,DELIVERY_TRACKING,AUTO_HANDLE,Tracking lookup issue; provide correct carrier URL and tracking format guidance.,Standard historical resolution for DELIVERY_TRACKING documented in Amazon Help policies.
GOLD_065,@AmazonHelp I was told my package #969-9305430 would arrive by 1pm today for my daughter's birthday and it's 5pm with no update.,DELIVERY_TRACKING,AUTO_HANDLE,Delivery status check; provide current tracking status and delivery window.,Standard historical resolution for DELIVERY_TRACKING documented in Amazon Help policies.
GOLD_066,@AmazonHelp How long does it take for a refund to show on my bank account after returning item #195-2473800?,RETURNS_REFUNDS,AUTO_HANDLE,General refund timeframe inquiry; standard bank processing time is 3-5 business days.,Standard historical resolution for RETURNS_REFUNDS documented in Amazon Help policies.
GOLD_067,"@AmazonHelp I received a completely used, scratched item instead of brand new for order #504-5630633.",RETURNS_REFUNDS,ESCALATE_HUMAN,Defective/used item delivered as new; requires agent inspection and replacement.,Standard historical resolution for RETURNS_REFUNDS documented in Amazon Help policies.
GOLD_068,@AmazonHelp I dropped off return parcel #585-9761918 at the post office 10 days ago but tracking shows not received.,RETURNS_REFUNDS,ESCALATE_HUMAN,Return transit delay/lost return parcel; requires manual review of drop-off receipt.,Standard historical resolution for RETURNS_REFUNDS documented in Amazon Help policies.
GOLD_069,@AmazonHelp Can I exchange the shoe size for order #719-8566710 from UK 8 to UK 9?,RETURNS_REFUNDS,AUTO_HANDLE,Standard product exchange inquiry; self-service exchange workflow in Orders.,Standard historical resolution for RETURNS_REFUNDS documented in Amazon Help policies.
GOLD_070,@AmazonHelp The seller on marketplace is refusing to issue a prepaid return label for broken item #333-3063077.,RETURNS_REFUNDS,ESCALATE_HUMAN,Marketplace seller dispute requiring Amazon A-to-z claim intervention.,Standard historical resolution for RETURNS_REFUNDS documented in Amazon Help policies.
GOLD_071,@AmazonHelp How long does it take for a refund to show on my bank account after returning item #898-5040132?,RETURNS_REFUNDS,AUTO_HANDLE,General refund timeframe inquiry; standard bank processing time is 3-5 business days.,Standard historical resolution for RETURNS_REFUNDS documented in Amazon Help policies.
GOLD_072,"@AmazonHelp I received a completely used, scratched item instead of brand new for order #637-2110045.",RETURNS_REFUNDS,ESCALATE_HUMAN,Defective/used item delivered as new; requires agent inspection and replacement.,Standard historical resolution for RETURNS_REFUNDS documented in Amazon Help policies.
GOLD_073,@AmazonHelp I dropped off return parcel #344-9610645 at the post office 10 days ago but tracking shows not received.,RETURNS_REFUNDS,ESCALATE_HUMAN,Return transit delay/lost return parcel; requires manual review of drop-off receipt.,Standard historical resolution for RETURNS_REFUNDS documented in Amazon Help policies.
GOLD_074,@AmazonHelp Can I exchange the shoe size for order #692-1990660 from UK 8 to UK 9?,RETURNS_REFUNDS,AUTO_HANDLE,Standard product exchange inquiry; self-service exchange workflow in Orders.,Standard historical resolution for RETURNS_REFUNDS documented in Amazon Help policies.
GOLD_075,@AmazonHelp The seller on marketplace is refusing to issue a prepaid return label for broken item #270-7725029.,RETURNS_REFUNDS,ESCALATE_HUMAN,Marketplace seller dispute requiring Amazon A-to-z claim intervention.,Standard historical resolution for RETURNS_REFUNDS documented in Amazon Help policies.
GOLD_076,@AmazonHelp How long does it take for a refund to show on my bank account after returning item #248-9842151?,RETURNS_REFUNDS,AUTO_HANDLE,General refund timeframe inquiry; standard bank processing time is 3-5 business days.,Standard historical resolution for RETURNS_REFUNDS documented in Amazon Help policies.
GOLD_077,"@AmazonHelp I received a completely used, scratched item instead of brand new for order #950-6799846.",RETURNS_REFUNDS,ESCALATE_HUMAN,Defective/used item delivered as new; requires agent inspection and replacement.,Standard historical resolution for RETURNS_REFUNDS documented in Amazon Help policies.
GOLD_078,@AmazonHelp I dropped off return parcel #975-5768394 at the post office 10 days ago but tracking shows not received.,RETURNS_REFUNDS,ESCALATE_HUMAN,Return transit delay/lost return parcel; requires manual review of drop-off receipt.,Standard historical resolution for RETURNS_REFUNDS documented in Amazon Help policies.
GOLD_079,@AmazonHelp Can I exchange the shoe size for order #193-5314344 from UK 8 to UK 9?,RETURNS_REFUNDS,AUTO_HANDLE,Standard product exchange inquiry; self-service exchange workflow in Orders.,Standard historical resolution for RETURNS_REFUNDS documented in Amazon Help policies.
GOLD_080,@AmazonHelp The seller on marketplace is refusing to issue a prepaid return label for broken item #360-4361171.,RETURNS_REFUNDS,ESCALATE_HUMAN,Marketplace seller dispute requiring Amazon A-to-z claim intervention.,Standard historical resolution for RETURNS_REFUNDS documented in Amazon Help policies.
GOLD_081,@AmazonHelp How long does it take for a refund to show on my bank account after returning item #509-2823841?,RETURNS_REFUNDS,AUTO_HANDLE,General refund timeframe inquiry; standard bank processing time is 3-5 business days.,Standard historical resolution for RETURNS_REFUNDS documented in Amazon Help policies.
GOLD_082,"@AmazonHelp I received a completely used, scratched item instead of brand new for order #881-4503015.",RETURNS_REFUNDS,ESCALATE_HUMAN,Defective/used item delivered as new; requires agent inspection and replacement.,Standard historical resolution for RETURNS_REFUNDS documented in Amazon Help policies.
GOLD_083,@AmazonHelp I dropped off return parcel #685-7486235 at the post office 10 days ago but tracking shows not received.,RETURNS_REFUNDS,ESCALATE_HUMAN,Return transit delay/lost return parcel; requires manual review of drop-off receipt.,Standard historical resolution for RETURNS_REFUNDS documented in Amazon Help policies.
GOLD_084,@AmazonHelp Can I exchange the shoe size for order #811-3775527 from UK 8 to UK 9?,RETURNS_REFUNDS,AUTO_HANDLE,Standard product exchange inquiry; self-service exchange workflow in Orders.,Standard historical resolution for RETURNS_REFUNDS documented in Amazon Help policies.
GOLD_085,@AmazonHelp The seller on marketplace is refusing to issue a prepaid return label for broken item #802-4370085.,RETURNS_REFUNDS,ESCALATE_HUMAN,Marketplace seller dispute requiring Amazon A-to-z claim intervention.,Standard historical resolution for RETURNS_REFUNDS documented in Amazon Help policies.
GOLD_086,@AmazonHelp How long does it take for a refund to show on my bank account after returning item #334-9128627?,RETURNS_REFUNDS,AUTO_HANDLE,General refund timeframe inquiry; standard bank processing time is 3-5 business days.,Standard historical resolution for RETURNS_REFUNDS documented in Amazon Help policies.
GOLD_087,"@AmazonHelp I received a completely used, scratched item instead of brand new for order #282-1150169.",RETURNS_REFUNDS,ESCALATE_HUMAN,Defective/used item delivered as new; requires agent inspection and replacement.,Standard historical resolution for RETURNS_REFUNDS documented in Amazon Help policies.
GOLD_088,@AmazonHelp I dropped off return parcel #469-9332091 at the post office 10 days ago but tracking shows not received.,RETURNS_REFUNDS,ESCALATE_HUMAN,Return transit delay/lost return parcel; requires manual review of drop-off receipt.,Standard historical resolution for RETURNS_REFUNDS documented in Amazon Help policies.
GOLD_089,@AmazonHelp Can I exchange the shoe size for order #613-3666067 from UK 8 to UK 9?,RETURNS_REFUNDS,AUTO_HANDLE,Standard product exchange inquiry; self-service exchange workflow in Orders.,Standard historical resolution for RETURNS_REFUNDS documented in Amazon Help policies.
GOLD_090,@AmazonHelp The seller on marketplace is refusing to issue a prepaid return label for broken item #576-2489389.,RETURNS_REFUNDS,ESCALATE_HUMAN,Marketplace seller dispute requiring Amazon A-to-z claim intervention.,Standard historical resolution for RETURNS_REFUNDS documented in Amazon Help policies.
GOLD_091,@AmazonHelp How long does it take for a refund to show on my bank account after returning item #545-2253905?,RETURNS_REFUNDS,AUTO_HANDLE,General refund timeframe inquiry; standard bank processing time is 3-5 business days.,Standard historical resolution for RETURNS_REFUNDS documented in Amazon Help policies.
GOLD_092,"@AmazonHelp I received a completely used, scratched item instead of brand new for order #818-1265204.",RETURNS_REFUNDS,ESCALATE_HUMAN,Defective/used item delivered as new; requires agent inspection and replacement.,Standard historical resolution for RETURNS_REFUNDS documented in Amazon Help policies.
GOLD_093,@AmazonHelp I dropped off return parcel #912-2444061 at the post office 10 days ago but tracking shows not received.,RETURNS_REFUNDS,ESCALATE_HUMAN,Return transit delay/lost return parcel; requires manual review of drop-off receipt.,Standard historical resolution for RETURNS_REFUNDS documented in Amazon Help policies.
GOLD_094,@AmazonHelp Can I exchange the shoe size for order #827-2799734 from UK 8 to UK 9?,RETURNS_REFUNDS,AUTO_HANDLE,Standard product exchange inquiry; self-service exchange workflow in Orders.,Standard historical resolution for RETURNS_REFUNDS documented in Amazon Help policies.
GOLD_095,@AmazonHelp The seller on marketplace is refusing to issue a prepaid return label for broken item #706-7354076.,RETURNS_REFUNDS,ESCALATE_HUMAN,Marketplace seller dispute requiring Amazon A-to-z claim intervention.,Standard historical resolution for RETURNS_REFUNDS documented in Amazon Help policies.
GOLD_096,@AmazonHelp How long does it take for a refund to show on my bank account after returning item #651-6751101?,RETURNS_REFUNDS,AUTO_HANDLE,General refund timeframe inquiry; standard bank processing time is 3-5 business days.,Standard historical resolution for RETURNS_REFUNDS documented in Amazon Help policies.
GOLD_097,"@AmazonHelp I need to cancel order #877-1925056 please, my kid bought it by mistake without asking.",CANCELLATION_MODIFICATION,AUTO_HANDLE,Accidental purchase cancellation; standard self-service order cancellation.,Standard historical resolution for CANCELLATION_MODIFICATION documented in Amazon Help policies.
GOLD_098,@AmazonHelp Can I change the delivery slot for order #272-8883408 to evening after 6pm?,CANCELLATION_MODIFICATION,AUTO_HANDLE,Delivery preference modification; guide user to carrier delivery instructions.,Standard historical resolution for CANCELLATION_MODIFICATION documented in Amazon Help policies.
GOLD_099,"@AmazonHelp Please stop shipment for order #123-3127492, the credit card used was stolen from my wallet!",CANCELLATION_MODIFICATION,ESCALATE_HUMAN,Fraud alert on active shipment; emergency package intercept and card freeze required.,Standard historical resolution for CANCELLATION_MODIFICATION documented in Amazon Help policies.
GOLD_100,"@AmazonHelp I need to cancel order #210-1632847 please, my kid bought it by mistake without asking.",CANCELLATION_MODIFICATION,AUTO_HANDLE,Accidental purchase cancellation; standard self-service order cancellation.,Standard historical resolution for CANCELLATION_MODIFICATION documented in Amazon Help policies.
GOLD_101,@AmazonHelp Can I change the delivery slot for order #509-7881033 to evening after 6pm?,CANCELLATION_MODIFICATION,AUTO_HANDLE,Delivery preference modification; guide user to carrier delivery instructions.,Standard historical resolution for CANCELLATION_MODIFICATION documented in Amazon Help policies.
