sample_id,customer_message,gold_intent,predicted_intent,routing_decision,agent_reply,human_correctness,llm_correctness,human_groundedness,llm_groundedness,human_relevance,llm_relevance,human_helpfulness,llm_helpfulness,human_tone,llm_tone,human_overall,llm_overall
SMP_16,@AmazonHelp My account has been locked due to 'unusual activity' and I cannot access my digital purchases.,ACCOUNT_SECURITY,ACCOUNT_SECURITY,ESCALATE_HUMAN,"Hi there, we take your account security very seriously. Because critical: account security lockout or potential unauthorized breach, we want to protect your privacy. Please visit our secure Two-Step Verification Account Recovery portal: https://www.amazon.com/help/account-recovery or send us a Direct Message with your account email so a security specialist can verify and unlock your account immediately.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,4.5,4.9,4.9
SMP_17,@AmazonHelp My package #527-3623851 is still not delivered even though tracking showed out for delivery at 9am.,DELIVERY_TRACKING,DELIVERY_TRACKING,AUTO_HANDLE,"Hi there, thanks for reaching out! You can track real-time delivery updates and carrier status for your order directly from 'Your Orders' here: https://www.amazon.com/gp/your-account/order-history. If your estimated delivery date has passed by more than 48 hours, please let us know via DM so we can locate the parcel for you!",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
SMP_18,@AmazonHelp I want to turn off auto-renewal for my Prime membership before it charges next week.,SUBSCRIPTION_PRIME,SUBSCRIPTION_PRIME,AUTO_HANDLE,"Hello! You can manage your Prime membership benefits, change billing cycles, or turn off auto-renewal anytime by visiting 'Manage Prime Membership': https://www.amazon.com/mc. If you cancelled without using your benefits, an automatic refund will be credited.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,4.5,4.9,4.9
SMP_19,@AmazonHelp I dropped off return parcel #685-7486235 at the post office 10 days ago but tracking shows not received.,RETURNS_REFUNDS,RETURNS_REFUNDS,ESCALATE_HUMAN,"Hi! We're sorry to hear about this experience. Because high-value return or merchant dispute requiring human intervention., we would like to look into this directly for you. Please send us a Direct Message with your order number and tracking details so our support team can take immediate action: https://twitter.com/messages/compose?recipient_id=AmazonHelp",5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,5.0,5.0,5.0,4.9
SMP_20,@AmazonHelp Can I exchange the shoe size for order #719-8566710 from UK 8 to UK 9?,RETURNS_REFUNDS,RETURNS_REFUNDS,AUTO_HANDLE,"Hello! You can easily initiate a return or request a replacement for damaged or wrong items through our Online Returns Center: https://www.amazon.com/returns. Simply select the item, choose 'Return or Replace', and print your prepaid return shipping label.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,4.5,4.9,4.9
SMP_21,@AmazonHelp Why was I billed $14.99 on my debit card when my order was cancelled?,PAYMENT_BILLING,PAYMENT_BILLING,ESCALATE_HUMAN,"Hello, thanks for reaching out. To investigate charges or billing discrepancies safely (Duplicate or unauthorized financial transaction requiring ledger audit), we never ask for card details over public tweets. Please DM us your order ID and the date of charge so our billing team can review your ledger and assist: https://twitter.com/messages/compose?recipient_id=AmazonHelp",5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,5.0,5.0,5.0,4.9
SMP_22,"@AmazonHelp I was charged £79 for an annual Amazon Prime renewal today, but I didn't want to renew. Can I cancel and get a full refund?",SUBSCRIPTION_PRIME,RETURNS_REFUNDS,AUTO_HANDLE,"Hello! You can easily initiate a return or request a replacement for damaged or wrong items through our Online Returns Center: https://www.amazon.com/returns. Simply select the item, choose 'Return or Replace', and print your prepaid return shipping label.",4.0,4.0,4.0,4.5,4.0,4.5,4.0,3.5,4.0,3.5,4.0,4.0
SMP_23,@AmazonHelp I was promised $10 Prime Video credit for choosing no-rush shipping on order #712-9418042 but it's not in my account.,SUBSCRIPTION_PRIME,SUBSCRIPTION_PRIME,ESCALATE_HUMAN,"Hi! We're sorry to hear about this experience. Because missed delivery sla or missing promotional credit requiring manual compensation, we would like to look into this directly for you. Please send us a Direct Message with your order number and tracking details so our support team can take immediate action: https://twitter.com/messages/compose?recipient_id=AmazonHelp",5.0,5.0,5.0,4.5,5.0,4.5,5.0,5.0,5.0,4.5,5.0,4.7
SMP_24,@AmazonHelp Can I exchange the shoe size for order #827-2799734 from UK 8 to UK 9?,RETURNS_REFUNDS,RETURNS_REFUNDS,AUTO_HANDLE,"Hello! You can easily initiate a return or request a replacement for damaged or wrong items through our Online Returns Center: https://www.amazon.com/returns. Simply select the item, choose 'Return or Replace', and print your prepaid return shipping label.",5.0,4.5,5.0,5.0,5.0,5.0,5.0,5.0,4.5,4.0,4.9,4.7
SMP_25,@AmazonHelp How long does it take for a refund to show on my bank account after returning item #195-2473800?,RETURNS_REFUNDS,RETURNS_REFUNDS,AUTO_HANDLE,"Hello! You can easily initiate a return or request a replacement for damaged or wrong items through our Online Returns Center: https://www.amazon.com/returns. Simply select the item, choose 'Return or Replace', and print your prepaid return shipping label.",5.0,5.0,5.0,5.0,5.0,4.5,5.0,5.0,4.5,4.0,4.9,4.7
SMP_26,@AmazonHelp The delivery person marked order #844-1142139 as 'Handed to resident' but nobody was at home.,DELIVERY_TRACKING,DELIVERY_TRACKING,ESCALATE_HUMAN,"Hi! We're sorry to hear about this experience. Because driver misconduct, false delivery confirmation, or courier damage, we would like to look into this directly for you. Please send us a Direct Message with your order number and tracking details so our support team can take immediate action: https://twitter.com/messages/compose?recipient_id=AmazonHelp",5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,5.0,5.0,5.0,4.9
SMP_27,@AmazonHelp The seller on marketplace is refusing to issue a prepaid return label for broken item #802-4370085.,RETURNS_REFUNDS,RETURNS_REFUNDS,ESCALATE_HUMAN,"Hi! We're sorry to hear about this experience. Because defective goods or marketplace seller dispute requiring amazon a-to-z intervention, we would like to look into this directly for you. Please send us a Direct Message with your order number and tracking details so our support team can take immediate action: https://twitter.com/messages/compose?recipient_id=AmazonHelp",5.0,4.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,5.0,4.8
SMP_28,@AmazonHelp I dropped off return parcel #585-9761918 at the post office 10 days ago but tracking shows not received.,RETURNS_REFUNDS,RETURNS_REFUNDS,ESCALATE_HUMAN,"Hi! We're sorry to hear about this experience. Because high-value return or merchant dispute requiring human intervention., we would like to look into this directly for you. Please send us a Direct Message with your order number and tracking details so our support team can take immediate action: https://twitter.com/messages/compose?recipient_id=AmazonHelp",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
SMP_29,@AmazonHelp Can I apply a promo voucher code after an order #335-4551532 has already been placed?,PAYMENT_BILLING,PAYMENT_BILLING,AUTO_HANDLE,"Hi there, thank you for contacting Amazon Support. Please check our Help Center at https://www.amazon.com/help or DM us your order details if you need personalized assistance.",5.0,5.0,5.0,5.0,5.0,4.5,5.0,5.0,5.0,4.5,5.0,4.8
SMP_30,"@AmazonHelp I got charged twice for my book order #393-1668509, once on PayPal and once on Visa card.",PAYMENT_BILLING,PAYMENT_BILLING,ESCALATE_HUMAN,"Hello, thanks for reaching out. To investigate charges or billing discrepancies safely (Duplicate or unauthorized financial transaction requiring ledger audit), we never ask for card details over public tweets. Please DM us your order ID and the date of charge so our billing team can review your ledger and assist: https://twitter.com/messages/compose?recipient_id=AmazonHelp",5.0,5.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.9
SMP_31,@AmazonHelp Third-party seller 'TechSuperStore' is refusing my return request even though the item arrived defective within 30 days.,RETURNS_REFUNDS,RETURNS_REFUNDS,ESCALATE_HUMAN,"Hi! We're sorry to hear about this experience. Because high-value return or merchant dispute requiring human intervention., we would like to look into this directly for you. Please send us a Direct Message with your order number and tracking details so our support team can take immediate action: https://twitter.com/messages/compose?recipient_id=AmazonHelp",5.0,5.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.9
SMP_32,@AmazonHelp I am being charged monthly for Prime Video on a student account that was supposed to have 6 months free trial.,SUBSCRIPTION_PRIME,SUBSCRIPTION_PRIME,ESCALATE_HUMAN,"Hi! We're sorry to hear about this experience. Because missed delivery sla or missing promotional credit requiring manual compensation, we would like to look into this directly for you. Please send us a Direct Message with your order number and tracking details so our support team can take immediate action: https://twitter.com/messages/compose?recipient_id=AmazonHelp",5.0,5.0,5.0,5.0,5.0,4.5,5.0,5.0,5.0,4.5,5.0,4.8
SMP_33,@AmazonHelp The delivery person marked order #290-6490626 as 'Handed to resident' but nobody was at home.,DELIVERY_TRACKING,DELIVERY_TRACKING,ESCALATE_HUMAN,"Hi! We're sorry to hear about this experience. Because driver misconduct, false delivery confirmation, or courier damage, we would like to look into this directly for you. Please send us a Direct Message with your order number and tracking details so our support team can take immediate action: https://twitter.com/messages/compose?recipient_id=AmazonHelp",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
SMP_34,@AmazonHelp How long does it take for a refund to show on my bank account after returning item #248-9842151?,RETURNS_REFUNDS,RETURNS_REFUNDS,AUTO_HANDLE,"Hello! You can easily initiate a return or request a replacement for damaged or wrong items through our Online Returns Center: https://www.amazon.com/returns. Simply select the item, choose 'Return or Replace', and print your prepaid return shipping label.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,4.5,5.0,4.9,4.9
SMP_35,@AmazonHelp Prime video is showing subtitles out of sync on my iPad for movie #878-1012526.,SUBSCRIPTION_PRIME,SUBSCRIPTION_PRIME,AUTO_HANDLE,"Hello! You can manage your Prime membership benefits, change billing cycles, or turn off auto-renewal anytime by visiting 'Manage Prime Membership': https://www.amazon.com/mc. If you cancelled without using your benefits, an automatic refund will be credited.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,4.5,4.9,4.9
SMP_36,"@AmazonHelp Please stop shipment for order #297-9505341, the credit card used was stolen from my wallet!",CANCELLATION_MODIFICATION,CANCELLATION_MODIFICATION,ESCALATE_HUMAN,"Hi! We're sorry to hear about this experience. Because duplicate or unauthorized financial transaction requiring ledger audit, we would like to look into this directly for you. Please send us a Direct Message with your order number and tracking details so our support team can take immediate action: https://twitter.com/messages/compose?recipient_id=AmazonHelp",5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,5.0,5.0,5.0,4.9
SMP_37,"@AmazonHelp I got charged twice for my book order #347-6501956, once on PayPal and once on Visa card.",PAYMENT_BILLING,PAYMENT_BILLING,ESCALATE_HUMAN,"Hello, thanks for reaching out. To investigate charges or billing discrepancies safely (Duplicate or unauthorized financial transaction requiring ledger audit), we never ask for card details over public tweets. Please DM us your order ID and the date of charge so our billing team can review your ledger and assist: https://twitter.com/messages/compose?recipient_id=AmazonHelp",5.0,4.5,5.0,4.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.8
SMP_38,@AmazonHelp Can I apply a promo voucher code after an order #106-5531950 has already been placed?,PAYMENT_BILLING,PAYMENT_BILLING,AUTO_HANDLE,"Hi there, thank you for contacting Amazon Support. Please check our Help Center at https://www.amazon.com/help or DM us your order details if you need personalized assistance.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
SMP_39,@AmazonHelp How do I enable 2-step verification for higher account security?,ACCOUNT_SECURITY,ACCOUNT_SECURITY,AUTO_HANDLE,"Hi there, thank you for contacting Amazon Support. Please check our Help Center at https://www.amazon.com/help or DM us your order details if you need personalized assistance.",5.0,5.0,5.0,4.5,5.0,4.5,5.0,4.5,5.0,4.5,5.0,4.6
SMP_40,"@AmazonHelp I received a completely used, scratched item instead of brand new for order #950-6799846.",RETURNS_REFUNDS,RETURNS_REFUNDS,ESCALATE_HUMAN,"Hi! We're sorry to hear about this experience. Because defective goods or marketplace seller dispute requiring amazon a-to-z intervention, we would like to look into this directly for you. Please send us a Direct Message with your order number and tracking details so our support team can take immediate action: https://twitter.com/messages/compose?recipient_id=AmazonHelp",5.0,5.0,5.0,5.0,5.0,4.5,5.0,5.0,5.0,4.5,5.0,4.8
